region,name,type,tags
Shanghai,Art galleries,hidden gem,"citytrip, gastronomy, wellness_spa"
Shanghai,Classical Gardens,hidden gem,"citytrip, gastronomy, wellness_spa"
Shanghai,Early Modern Architecture,hidden gem,"citytrip, gastronomy, wellness_spa"
Shanghai,Museums,hidden gem,"citytrip, gastronomy, wellness_spa"
Shanghai,Performing Arts,hidden gem,"citytrip, gastronomy, wellness_spa"
Shanghai,Skyscrapers,hidden gem,"citytrip, gastronomy, wellness_spa"
Shanghai,Temples,hidden gem,"citytrip, gastronomy, wellness_spa"
Shanghai,Water towns,hidden gem,"citytrip, gastronomy, wellness_spa"
Yunnan,Itineraries,hidden gem,"nature_wildlife, adventure, culture_history, backpacker"
Xian,Central Xi'an,hidden gem,"culture_history, gastronomy"
Xian,Greater Xi'an,hidden gem,"culture_history, gastronomy"
Hangzhou,West Lake (西湖Xī Hú),hidden gem,"wellness_spa, nature_wildlife, culture_history"
Hangzhou,"Temples, pagodas and churches",hidden gem,"wellness_spa, nature_wildlife, culture_history"
Hangzhou,"Gardens, forests, nature",hidden gem,"wellness_spa, nature_wildlife, culture_history"
Hangzhou,Other sites,hidden gem,"wellness_spa, nature_wildlife, culture_history"
Hangzhou,Liangzhu,hidden gem,"wellness_spa, nature_wildlife, culture_history"
